"1327203065649356801","['#music', '#EDM', '#housemusic', '#deephouse', '#deephousemusic', '#NewMusic', '#Trending', '#Like', '#RETWEEET', '#share', '#FolloMe', '#Spotify', '#AppleMusic', '#iTunes', '#SoundCloud']"
"1327203065636728833","[]"
"1327203065414430720","[]"
"1327203065372565504","[]"
"1327203065200398337","['#BTS_Dynamite', '#Dynamite22ndWin']"
"1327203063979855872","[]"
"1327203063812132865","[]"
"1327203063636037632","['#MadeinLagos', '#ABetterTime']"
"1327203063401119744","[]"
"1327203062897922049","[]"
"1327203062432231429","[]"
"1327203062394609666","['#Dynamite22ndWin']"
"1327203061949874178","['#FridayLivestream']"
"1327203061870301185","[]"
"1327203061803016192","['#Dynamite22ndWin']"
"1327203061203349504","['#Dynamite22ndWin']"
"1327203061052411904","['#ABT_THEALBUM']"
"1327203060737720320","['#ShinSeungHun', '#SeoTaijiandBoys', '#BTS', '#BTS', '#PSY']"
"1327203060632879115","['#wsjinnovators']"
"1327203060108681216","['#WILStreamingParty', '#WILStreamingParty']"
"1327203059185844224","['#6']"
"1327203058510512133","[]"
"1327203058011389952","['#1', '#twice', '#MAMAVOTE']"
"1327203057705381892","[]"
"1327203057353052166","['#Dynamite22ndWin']"
"1327203057013305344","['#Spotify', '#SpotifyAsia', '#Kokoy']"
"1327203056946012161","['#Dynamite22ndWin']"
"1327203056258224130","[]"
"1327203056212127745","['#vinyl', '#Rainbow', '#MusicBox', '#MariahUnplugged', '#Emotions', '#TheMeaningofMariahCarey', '#TheRarities']"
"1327203055633391617","[]"
"1327203055310311424","[]"
"1327203054878404608","[]"
"1327203054815485952","[]"
"1327203054744166402","['#Dynamite22ndWin']"
"1327203054735618049","['#zonajajan', '#zonaBA', '#zonauang']"
"1327203054488260609","['#Dynamite22ndWin']"
"1327203054437863425","[]"
"1327203054144241666","['#BTS_Dynamite', '#Dynamite22ndWin']"
"1327203054119051264","['#BTS', '#BLACKPINK', '#RefundSister', '#ImYoungWoong', '#BTS', '#BLACKPINK']"
"1327203053682900992","['#BTS']"
"1327203053485891585","[]"
"1327203053468991488","['#MAMAVOTE', '#twice']"
"1327203052093227017","['#AMAs']"
"1327203051996909568","[]"
"1327203051632013314","['#FrHIGHday']"
"1327203051501887488","[]"
"1327203051451551745","['#AMAs']"
"1327203051225157633","[]"
"1327203051078356992","[]"
"1327203050973323264","['#RELEASE', '#itunes', '#applemusic', '#NewRelease', '#NewMusicFriday', '#houseMusic', '#itunes', '#distrokid']"
"1327203050931499014","[]"
"1327203050587615238","[]"
"1327203050575065088","[]"
"1327203050545623041","['#Dynamite22ndWin']"
"1327203050314928132","['#KDA', '#AllOut', '#KimPetras', '#TWICE', '#MadisonBeer', '#GIDLE', '#3']"
"1327203050210070529","[]"
"1327203050121949185","['#Suraraipottru']"
"1327203049950105600","['#WILStreamingParty']"
"1327203049811505153","['#Dynamite22ndWin']"
"1327203048863780864","[]"
"1327203048700084225","[]"
"1327203048469405697","['#AMAs']"
"1327203048310116352","[]"
"1327203047102099456","[]"
"1327203046099619840","['#1']"
"1327203046099542016","['#Dynamite22ndWin']"
"1327203045223133184","[]"
"1327203045118185474","['#AMAs']"
"1327203045092978688","[]"
"1327203044358983686","[]"
"1327203043868364801","['#BTS', '#Dynamite22ndWin']"
"1327203043570450433","[]"
"1327203042161086464","['#GFRIEND', '#MAGO']"
"1327203040579842048","['#MAMAVOTE', '#bts']"
"1327203040449896448","['#GotThatBoom']"
"1327203039913127936","[]"
"1327203039803973633","[]"
"1327203039057481728","[]"
"1327203038902112257","['#Dynamite22ndWin']"
"1327203038528905219","[]"
"1327203037996322816","[]"
"1327203037430108161","[]"
"1327203037266333698","[]"
"1327203036733779969","[]"
"1327203036268273665","['#ANDRE3000']"
"1327203036058546176","['#wsjinnovators']"
"1327203034724773890","[]"
"1327203034590539776","['#RSICollectorsEdition']"
"1327203034489909250","['#ABetterTime']"
"1327203034481487872","[]"
"1327203033961250816","['#1', '#2', '#3', '#Dynamite22ndWin']"
"1327203033852284928","[]"
"1327203033600692225","['#MAMAVOTE', '#BTS']"
"1327203032707174401","['#Dynamite22ndWin']"
"1327203031939653632","['#BTS_Dynamite', '#Dynamite22ndWin']"
"1327203031159427072","['#Dynamite22ndWin']"
"1327203031134322688","['#Dynamite22ndWin']"
"1327203031012704257","['#Dynamite22ndWin']"
"1327203030740078593","['#BLACKPINK', '#RefundSisters', '#LimChangJung']"
"1327203029502685185","['#TuMeraNahi']"
"1327203029465006080","['#Dynamite22ndWin']"
"1327203029293162497","['#1', '#2', '#3', '#Dynamite22ndWin']"
"1327203029129551878","['#PalomaFaith']"
"1327203028848369666","[]"
"1327203028118736896","[]"
"1327203028018008064","[]"
"1327203027955175425","[]"
"1327203027854438401","['#2']"
"1327203027153874947","['#1', '#2', '#3', '#Dynamite22ndWin']"
"1327203026998878208","[]"
"1327203026658938886","['#MOMOLAND']"
"1327203026189357056","['#ABT_THEALBUM']"
"1327203025820200960","[]"
"1327203025685938176","['#1', '#2', '#3', '#Dynamite22ndWin']"
"1327203025430208514","['#ABetterTime', '#ABT_THEALBUM']"
"1327203024939335682","[]"
"1327203024822013952","['#KFCBKisimaAwards']"
"1327203024066981890","[]"
"1327203023760871425","[]"
"1327203023643320320","['#BhulaDunga94MillionDone', '#DarshanRaval', '#SidNaaz']"
"1327203023488229376","[]"
"1327203022993203201","[]"
"1327203022951223298","['#Dynamite22ndWin']"
"1327203022867365888","['#AMAs']"
"1327203022586273794","['#Dynamite22ndWin']"
"1327203020636114944","['#BTS', '#Dynamite22ndWin', '#Taemin', '#GFRIEND', '#MONSTAX']"
"1327203020484923393","['#KimHyunJoong', '#ABellofBlessing']"
"1327203020292153345","[]"
"1327203020212473856","[]"
"1327203020103249921","['#BTS_Dynamite', '#Dynamite22ndWin', '#BTS']"
"1327203019675545601","[]"
